LShankACCX,LShankACCY,LShankACCZ,LShankGYROX,LShankGYROY,LShankGYROZ,RShankACCX,RShankACCY,RShankACCZ,RShankGYROX,RShankGYROY,RShankGYROZ,WaistACCX,WaistACCY,WaistACCZ,WaistGYROX,WaistGYROY,WaistGYROZ,ArmACCX,ArmACCY,ArmACCZ,ArmGYROX,ArmGYROY,ArmGYROZ,SC
7769,-742,-3443,-114,-12,-2,7769,-742,-3443,-114,-12,-2,-652,5352,5974,60,43,12,-652,5352,5974,60,43,12,1620
7757,-779,-3493,-112,-9,-3,7757,-779,-3493,-112,-9,-3,-664,5315,5922,53,52,18,-664,5315,5922,53,52,18,1625
7759,-753,-3455,-110,-13,-3,7759,-753,-3455,-110,-13,-3,-631,5393,5959,60,29,13,-631,5393,5959,60,29,13,1613
7737,-756,-3425,-110,-12,-1,7737,-756,-3425,-110,-12,-1,-642,5328,5968,49,59,14,-642,5328,5968,49,59,14,1611
7772,-796,-3471,-115,-8,-4,7772,-796,-3471,-115,-8,-4,-667,5362,5940,60,64,10,-667,5362,5940,60,64,10,1625
7761,-761,-3453,-112,-12,-3,7761,-761,-3453,-112,-12,-3,-606,5420,5981,57,54,-5,-606,5420,5981,57,54,-5,1615
7769,-766,-3456,-108,-13,-4,7769,-766,-3456,-108,-13,-4,-621,5344,5946,34,42,28,-621,5344,5946,34,42,28,1617
7769,-755,-3435,-110,-10,-1,7769,-755,-3435,-110,-10,-1,-638,5371,5960,58,36,7,-638,5371,5960,58,36,7,1621
7774,-773,-3481,-108,-16,-4,7774,-773,-3481,-108,-16,-4,-646,5378,5973,44,37,21,-646,5378,5973,44,37,21,1624
7773,-807,-3468,-120,-8,-3,7773,-807,-3468,-120,-8,-3,-665,5307,5957,56,55,9,-665,5307,5957,56,55,9,1623
7762,-748,-3460,-111,-13,-6,7762,-748,-3460,-111,-13,-6,-674,5329,5960,48,55,19,-674,5329,5960,48,55,19,1622
7744,-742,-3443,-116,-6,-3,7744,-742,-3443,-116,-6,-3,-648,5374,5938,52,52,5,-648,5374,5938,52,52,5,1622
7751,-775,-3472,-108,-13,-4,7751,-775,-3472,-108,-13,-4,-690,5345,5950,48,47,13,-690,5345,5950,48,47,13,1620
7761,-758,-3453,-113,-12,-3,7761,-758,-3453,-113,-12,-3,-638,5387,5968,34,66,23,-638,5387,5968,34,66,23,1616
7758,-763,-3428,-108,-12,-3,7758,-763,-3428,-108,-12,-3,-625,5321,5934,69,65,6,-625,5321,5934,69,65,6,1616
7775,-754,-3418,-111,-13,-3,7775,-754,-3418,-111,-13,-3,-621,5306,5936,47,59,5,-621,5306,5936,47,59,5,1621
7765,-764,-3477,-111,-11,-5,7765,-764,-3477,-111,-11,-5,-677,5311,5964,48,55,18,-677,5311,5964,48,55,18,1622
7776,-770,-3462,-112,-13,-2,7776,-770,-3462,-112,-13,-2,-640,5363,5888,36,53,24,-640,5363,5888,36,53,24,1620
7763,-775,-3478,-109,-15,-4,7763,-775,-3478,-109,-15,-4,-661,5351,5976,50,39,24,-661,5351,5976,50,39,24,1624
7778,-747,-3459,-114,-11,-3,7778,-747,-3459,-114,-11,-3,-662,5390,5957,23,65,29,-662,5390,5957,23,65,29,1615
7769,-789,-3419,-115,-9,-3,7769,-789,-3419,-115,-9,-3,-640,5349,5951,50,34,-1,-640,5349,5951,50,34,-1,1617
7779,-756,-3463,-112,-10,-3,7779,-756,-3463,-112,-10,-3,-620,5315,5947,54,47,11,-620,5315,5947,54,47,11,1615
7760,-760,-3470,-109,-11,-4,7760,-760,-3470,-109,-11,-4,-650,5357,5960,56,55,4,-650,5357,5960,56,55,4,1625
7783,-774,-3448,-107,-15,-4,7783,-774,-3448,-107,-15,-4,-648,5370,6006,64,49,8,-648,5370,6006,64,49,8,1620
7778,-757,-3464,-114,-10,-5,7778,-757,-3464,-114,-10,-5,-640,5382,5941,76,39,-15,-640,5382,5941,76,39,-15,1621
7763,-757,-3453,-110,-10,-3,7763,-757,-3453,-110,-10,-3,-656,5339,5914,45,40,14,-656,5339,5914,45,40,14,1624
7762,-774,-3462,-113,-11,-2,7762,-774,-3462,-113,-11,-2,-644,5359,5993,58,62,18,-644,5359,5993,58,62,18,1621
7762,-754,-3479,-105,-14,-5,7762,-754,-3479,-105,-14,-5,-678,5331,5960,38,53,13,-678,5331,5960,38,53,13,1622
7763,-774,-3460,-109,-12,-5,7763,-774,-3460,-109,-12,-5,-648,5364,5989,55,37,9,-648,5364,5989,55,37,9,1619
7758,-773,-3465,-114,-10,-1,7758,-773,-3465,-114,-10,-1,-671,5350,5979,36,41,14,-671,5350,5979,36,41,14,1621
7756,-798,-3437,-116,-8,-4,7756,-798,-3437,-116,-8,-4,-657,5377,5957,55,63,12,-657,5377,5957,55,63,12,1625
7768,-769,-3439,-110,-15,-4,7768,-769,-3439,-110,-15,-4,-608,5339,5927,74,61,-1,-608,5339,5927,74,61,-1,1614
7783,-757,-3423,-113,-9,-3,7783,-757,-3423,-113,-9,-3,-650,5337,5945,34,45,21,-650,5337,5945,34,45,21,1618
7780,-779,-3440,-113,-10,-2,7780,-779,-3440,-113,-10,-2,-643,5365,5964,53,56,8,-643,5365,5964,53,56,8,1625
7772,-772,-3434,-110,-11,-4,7772,-772,-3434,-110,-11,-4,-633,5317,5962,46,51,4,-633,5317,5962,46,51,4,1620
7777,-772,-3442,-112,-11,-4,7777,-772,-3442,-112,-11,-4,-621,5369,5961,64,29,15,-621,5369,5961,64,29,15,1613
7767,-766,-3480,-108,-13,-4,7767,-766,-3480,-108,-13,-4,-681,5357,5943,43,41,18,-681,5357,5943,43,41,18,1626
7774,-745,-3444,-108,-11,-4,7774,-745,-3444,-108,-11,-4,-642,5349,6012,30,49,32,-642,5349,6012,30,49,32,1617
7778,-765,-3462,-105,-11,-4,7778,-765,-3462,-105,-11,-4,-652,5290,5948,48,51,18,-652,5290,5948,48,51,18,1623
7784,-774,-3464,-107,-14,-3,7784,-774,-3464,-107,-14,-3,-625,5350,5949,75,41,-13,-625,5350,5949,75,41,-13,1620
7793,-760,-3431,-109,-10,-5,7793,-760,-3431,-109,-10,-5,-577,5396,5898,55,32,4,-577,5396,5898,55,32,4,1619
7777,-765,-3460,-105,-11,-4,7777,-765,-3460,-105,-11,-4,-657,5290,5950,46,50,19,-657,5290,5950,46,50,19,1623
7788,-781,-3468,-107,-11,-3,7788,-781,-3468,-107,-11,-3,-679,5366,5960,49,41,10,-679,5366,5960,49,41,10,1625
7757,-770,-3481,-110,-15,-1,7757,-770,-3481,-110,-15,-1,-662,5347,5972,39,46,16,-662,5347,5972,39,46,16,1622
7771,-764,-3460,-113,-10,-2,7771,-764,-3460,-113,-10,-2,-669,5381,5957,56,42,9,-669,5381,5957,56,42,9,1622
7754,-782,-3495,-111,-10,-3,7754,-782,-3495,-111,-10,-3,-650,5349,5936,56,55,8,-650,5349,5936,56,55,8,1625
7771,-773,-3460,-112,-11,-4,7771,-773,-3460,-112,-11,-4,-675,5321,5967,47,46,11,-675,5321,5967,47,46,11,1625
7786,-773,-3451,-114,-13,-3,7786,-773,-3451,-114,-13,-3,-619,5420,5941,38,40,8,-619,5420,5941,38,40,8,1615
7758,-751,-3461,-113,-12,-2,7758,-751,-3461,-113,-12,-2,-625,5365,5916,32,40,9,-625,5365,5916,32,40,9,1615
7762,-746,-3458,-111,-14,-6,7762,-746,-3458,-111,-14,-6,-673,5339,5960,48,55,19,-673,5339,5960,48,55,19,1622
7747,-786,-3463,-111,-12,0,7747,-786,-3463,-111,-12,0,-673,5351,5992,56,56,7,-673,5351,5992,56,56,7,1625
7787,-771,-3460,-112,-9,-1,7787,-771,-3460,-112,-9,-1,-620,5330,5923,55,52,4,-620,5330,5923,55,52,4,1614
7774,-773,-3435,-111,-13,-2,7774,-773,-3435,-111,-13,-2,-623,5350,5961,51,58,8,-623,5350,5961,51,58,8,1618
7768,-786,-3448,-118,-8,-1,7768,-786,-3448,-118,-8,-1,-671,5296,5986,53,54,14,-671,5296,5986,53,54,14,1620
7749,-753,-3487,-113,-14,-2,7749,-753,-3487,-113,-14,-2,-663,5334,5917,41,43,8,-663,5334,5917,41,43,8,1622
7769,-758,-3439,-111,-11,-5,7769,-758,-3439,-111,-11,-5,-635,5383,6008,35,52,26,-635,5383,6008,35,52,26,1617
7768,-757,-3470,-108,-13,-2,7768,-757,-3470,-108,-13,-2,-631,5342,5943,38,46,34,-631,5342,5943,38,46,34,1618
7776,-799,-3461,-120,-8,-3,7776,-799,-3461,-120,-8,-3,-665,5315,5968,57,55,8,-665,5315,5968,57,55,8,1623
7762,-775,-3433,-112,-13,-4,7762,-775,-3433,-112,-13,-4,-646,5345,5971,54,41,19,-646,5345,5971,54,41,19,1621
7781,-767,-3428,-108,-12,-3,7781,-767,-3428,-108,-12,-3,-619,5354,5976,69,77,-10,-619,5354,5976,69,77,-10,1618
7774,-767,-3469,-112,-15,-3,7774,-767,-3469,-112,-15,-3,-652,5397,5996,33,50,18,-652,5397,5996,33,50,18,1620
7775,-752,-3461,-108,-9,-3,7775,-752,-3461,-108,-9,-3,-657,5339,5952,58,56,11,-657,5339,5952,58,56,11,1623
7776,-762,-3453,-110,-13,-4,7776,-762,-3453,-110,-13,-4,-665,5355,5973,43,64,17,-665,5355,5973,43,64,17,1620
7766,-774,-3459,-114,-11,-4,7766,-774,-3459,-114,-11,-4,-652,5334,5924,55,63,16,-652,5334,5924,55,63,16,1620
7767,-763,-3465,-113,-9,-3,7767,-763,-3465,-113,-9,-3,-640,5326,5941,47,46,11,-640,5326,5941,47,46,11,1622
7757,-761,-3450,-111,-11,-4,7757,-761,-3450,-111,-11,-4,-648,5322,5955,43,55,12,-648,5322,5955,43,55,12,1622
7769,-753,-3444,-107,-14,-4,7769,-753,-3444,-107,-14,-4,-599,5317,5919,71,65,0,-599,5317,5919,71,65,0,1618
7759,-770,-3452,-110,-11,-4,7759,-770,-3452,-110,-11,-4,-677,5315,5953,41,49,6,-677,5315,5953,41,49,6,1620
7773,-772,-3445,-111,-12,-3,7773,-772,-3445,-111,-12,-3,-636,5365,5976,18,54,38,-636,5365,5976,18,54,38,1615
7737,-769,-3447,-114,-14,-3,7737,-769,-3447,-114,-14,-3,-683,5341,5974,40,53,11,-683,5341,5974,40,53,11,1624
7761,-777,-3472,-109,-11,-2,7761,-777,-3472,-109,-11,-2,-704,5342,5977,45,47,15,-704,5342,5977,45,47,15,1625
7766,-752,-3475,-108,-14,-1,7766,-752,-3475,-108,-14,-1,-670,5322,5947,76,60,9,-670,5322,5947,76,60,9,1621
7788,-768,-3443,-108,-11,-3,7788,-768,-3443,-108,-11,-3,-712,5302,5952,36,44,15,-712,5302,5952,36,44,15,1621
7742,-763,-3499,-110,-12,-2,7742,-763,-3499,-110,-12,-2,-674,5377,5965,49,53,15,-674,5377,5965,49,53,15,1625
7765,-749,-3464,-109,-10,-3,7765,-749,-3464,-109,-10,-3,-654,5331,5945,57,56,10,-654,5331,5945,57,56,10,1623
7755,-783,-3499,-110,-12,-2,7755,-783,-3499,-110,-12,-2,-651,5342,5948,38,47,17,-651,5342,5948,38,47,17,1622
7779,-772,-3442,-112,-13,-1,7779,-772,-3442,-112,-13,-1,-650,5348,5933,28,53,25,-650,5348,5933,28,53,25,1620
7767,-773,-3447,-110,-13,-3,7767,-773,-3447,-110,-13,-3,-652,5306,5927,62,51,-1,-652,5306,5927,62,51,-1,1621
7783,-782,-3449,-112,-10,0,7783,-782,-3449,-112,-10,0,-646,5342,5940,66,50,9,-646,5342,5940,66,50,9,1625
7774,-729,-3446,-110,-13,-2,7774,-729,-3446,-110,-13,-2,-657,5343,5953,44,41,13,-657,5343,5953,44,41,13,1621
7755,-770,-3447,-105,-15,-5,7755,-770,-3447,-105,-15,-5,-637,5334,5934,58,57,12,-637,5334,5934,58,57,12,1620
7770,-749,-3464,-108,-10,-3,7770,-749,-3464,-108,-10,-3,-657,5332,5945,58,56,11,-657,5332,5945,58,56,11,1623
7771,-776,-3454,-112,-14,-2,7771,-776,-3454,-112,-14,-2,-656,5377,5992,43,54,13,-656,5377,5992,43,54,13,1624
7754,-767,-3453,-111,-11,-2,7754,-767,-3453,-111,-11,-2,-624,5378,5931,71,74,-16,-624,5378,5931,71,74,-16,1618
7747,-782,-3418,-108,-11,-3,7747,-782,-3418,-108,-11,-3,-620,5358,5982,54,43,-4,-620,5358,5982,54,43,-4,1615
7766,-756,-3450,-108,-13,-4,7766,-756,-3450,-108,-13,-4,-616,5298,5980,38,46,18,-616,5298,5980,38,46,18,1618
7775,-762,-3438,-108,-12,-3,7775,-762,-3438,-108,-12,-3,-623,5393,5995,55,36,17,-623,5393,5995,55,36,17,1613
7770,-779,-3460,-113,-10,-3,7770,-779,-3460,-113,-10,-3,-672,5331,5946,53,53,18,-672,5331,5946,53,53,18,1625
7768,-766,-3457,-112,-12,-6,7768,-766,-3457,-112,-12,-6,-641,5319,5939,63,48,11,-641,5319,5939,63,48,11,1611
7772,-790,-3439,-112,-12,-5,7772,-790,-3439,-112,-12,-5,-639,5372,5979,57,76,2,-639,5372,5979,57,76,2,1621
7769,-777,-3456,-108,-14,-4,7769,-777,-3456,-108,-14,-4,-611,5355,5976,63,24,0,-611,5355,5976,63,24,0,1612
7780,-743,-3462,-112,-9,0,7780,-743,-3462,-112,-9,0,-622,5362,5963,49,31,14,-622,5362,5963,49,31,14,1614
7770,-774,-3459,-108,-11,-4,7770,-774,-3459,-108,-11,-4,-622,5355,5961,63,31,17,-622,5355,5961,63,31,17,1613
7757,-757,-3421,-111,-12,-1,7757,-757,-3421,-111,-12,-1,-619,5358,5985,72,26,-1,-619,5358,5985,72,26,-1,1621
7759,-804,-3428,-119,-7,-3,7759,-804,-3428,-119,-7,-3,-687,5315,5943,43,51,16,-687,5315,5943,43,51,16,1620
7779,-765,-3413,-107,-13,-2,7779,-765,-3413,-107,-13,-2,-638,5335,5996,68,60,15,-638,5335,5996,68,60,15,1621
7757,-776,-3478,-105,-14,-4,7757,-776,-3478,-105,-14,-4,-618,5338,5940,60,54,12,-618,5338,5940,60,54,12,1620
7778,-763,-3464,-106,-15,-3,7778,-763,-3464,-106,-15,-3,-627,5313,5977,48,47,23,-627,5313,5977,48,47,23,1620
7765,-776,-3455,-110,-12,-2,7765,-776,-3455,-110,-12,-2,-668,5331,5953,39,49,18,-668,5331,5953,39,49,18,1620
7778,-761,-3447,-110,-13,-4,7778,-761,-3447,-110,-13,-4,-675,5351,5963,43,64,17,-675,5351,5963,43,64,17,1620
7768,-768,-3439,-111,-14,-3,7768,-768,-3439,-111,-14,-3,-652,5368,6006,43,51,14,-652,5368,6006,43,51,14,1622
7732,-757,-3476,-112,-12,-2,7732,-757,-3476,-112,-12,-2,-658,5380,5989,49,55,14,-658,5380,5989,49,55,14,1625
7768,-772,-3455,-114,-12,-1,7768,-772,-3455,-114,-12,-1,-629,5340,6003,55,59,5,-629,5340,6003,55,59,5,1618
7761,-784,-3460,-106,-14,-3,7761,-784,-3460,-106,-14,-3,-610,5370,5909,82,48,-21,-610,5370,5909,82,48,-21,1620
7767,-770,-3463,-108,-15,-3,7767,-770,-3463,-108,-15,-3,-651,5350,5970,54,25,12,-651,5350,5970,54,25,12,1621
7753,-756,-3475,-108,-12,-1,7753,-756,-3475,-108,-12,-1,-670,5375,5938,50,50,17,-670,5375,5938,50,50,17,1620
7761,-760,-3478,-106,-11,-3,7761,-760,-3478,-106,-11,-3,-654,5321,5933,38,46,22,-654,5321,5933,38,46,22,1622
7766,-750,-3454,-113,-12,-2,7766,-750,-3454,-113,-12,-2,-628,5375,5920,33,40,8,-628,5375,5920,33,40,8,1615
7755,-755,-3437,-108,-9,-3,7755,-755,-3437,-108,-9,-3,-680,5336,5959,39,35,6,-680,5336,5959,39,35,6,1619
7757,-756,-3440,-111,-12,-4,7757,-756,-3440,-111,-12,-4,-628,5331,5954,44,54,7,-628,5331,5954,44,54,7,1620
7750,-779,-3450,-110,-12,-3,7750,-779,-3450,-110,-12,-3,-627,5318,5942,58,26,0,-627,5318,5942,58,26,0,1612
7766,-756,-3476,-110,-14,-2,7766,-756,-3476,-110,-14,-2,-672,5314,5978,67,55,-8,-672,5314,5978,67,55,-8,1621
7756,-776,-3434,-107,-15,-5,7756,-776,-3434,-107,-15,-5,-671,5333,5925,42,58,14,-671,5333,5925,42,58,14,1622
7780,-764,-3439,-101,-13,-2,7780,-764,-3439,-101,-13,-2,-629,5325,5967,51,40,10,-629,5325,5967,51,40,10,1617
7752,-801,-3448,-107,-14,-4,7752,-801,-3448,-107,-14,-4,-643,5308,5980,60,58,7,-643,5308,5980,60,58,7,1623
7794,-772,-3465,-110,-12,-2,7794,-772,-3465,-110,-12,-2,-683,5396,5943,54,43,5,-683,5396,5943,54,43,5,1624
7773,-756,-3437,-108,-13,-3,7773,-756,-3437,-108,-13,-3,-623,5391,5988,56,37,17,-623,5391,5988,56,37,17,1613
7773,-747,-3420,-107,-12,-4,7773,-747,-3420,-107,-12,-4,-638,5344,6002,31,47,35,-638,5344,6002,31,47,35,1618
7750,-760,-3453,-107,-15,-5,7750,-760,-3453,-107,-15,-5,-658,5376,5952,68,50,5,-658,5376,5952,68,50,5,1620
7757,-767,-3427,-112,-12,-1,7757,-767,-3427,-112,-12,-1,-619,5365,5980,72,27,1,-619,5365,5980,72,27,1,1621
7777,-774,-3457,-114,-11,-3,7777,-774,-3457,-114,-11,-3,-634,5312,5986,59,54,11,-634,5312,5986,59,54,11,1611
7751,-756,-3452,-107,-17,-7,7751,-756,-3452,-107,-17,-7,-603,5378,5935,56,50,16,-603,5378,5935,56,50,16,1614
7759,-770,-3442,-113,-11,-3,7759,-770,-3442,-113,-11,-3,-674,5380,5995,40,39,15,-674,5380,5995,40,39,15,1621
7767,-769,-3472,-106,-14,-5,7767,-769,-3472,-106,-14,-5,-646,5336,5966,32,44,33,-646,5336,5966,32,44,33,1620
7782,-770,-3429,-109,-13,-3,7782,-770,-3429,-109,-13,-3,-664,5311,5944,65,52,0,-664,5311,5944,65,52,0,1621
7787,-766,-3461,-111,-13,-1,7787,-766,-3461,-111,-13,-1,-646,5328,5956,72,65,-15,-646,5328,5956,72,65,-15,1618
7773,-772,-3437,-114,-11,-4,7773,-772,-3437,-114,-11,-4,-623,5368,5961,61,29,15,-623,5368,5961,61,29,15,1613
7750,-775,-3457,-108,-13,-2,7750,-775,-3457,-108,-13,-2,-685,5339,5966,52,42,15,-685,5339,5966,52,42,15,1621
7746,-777,-3454,-109,-14,-5,7746,-777,-3454,-109,-14,-5,-644,5395,5934,45,56,13,-644,5395,5934,45,56,13,1621
7748,-733,-3452,-110,-13,-4,7748,-733,-3452,-110,-13,-4,-623,5353,5984,52,39,8,-623,5353,5984,52,39,8,1612
7750,-767,-3466,-109,-11,-4,7750,-767,-3466,-109,-11,-4,-684,5323,5956,50,42,2,-684,5323,5956,50,42,2,1621
7770,-774,-3429,-113,-13,-3,7770,-774,-3429,-113,-13,-3,-661,5338,5940,52,39,21,-661,5338,5940,52,39,21,1624
7759,-759,-3450,-114,-11,-2,7759,-759,-3450,-114,-11,-2,-614,5343,5976,44,41,17,-614,5343,5976,44,41,17,1621
7761,-766,-3446,-109,-13,-5,7761,-766,-3446,-109,-13,-5,-618,5380,5902,55,29,3,-618,5380,5902,55,29,3,1612
7749,-763,-3469,-113,-13,-2,7749,-763,-3469,-113,-13,-2,-668,5347,5915,41,41,7,-668,5347,5915,41,41,7,1622
7777,-727,-3469,-108,-12,0,7777,-727,-3469,-108,-12,0,-607,5351,5903,61,46,15,-607,5351,5903,61,46,15,1614
7774,-780,-3462,-112,-11,-4,7774,-780,-3462,-112,-11,-4,-673,5316,5959,47,47,11,-673,5316,5959,47,47,11,1625
7755,-776,-3465,-110,-13,-4,7755,-776,-3465,-110,-13,-4,-646,5299,5925,60,51,-2,-646,5299,5925,60,51,-2,1621
7747,-755,-3441,-110,-12,-2,7747,-755,-3441,-110,-12,-2,-595,5387,5940,30,40,24,-595,5387,5940,30,40,24,1617
7772,-748,-3464,-118,-6,-2,7772,-748,-3464,-118,-6,-2,-613,5363,5910,65,64,-4,-613,5363,5910,65,64,-4,1620
7750,-753,-3425,-111,-13,-2,7750,-753,-3425,-111,-13,-2,-655,5412,5969,70,53,4,-655,5412,5969,70,53,4,1616
7768,-746,-3486,-110,-13,-3,7768,-746,-3486,-110,-13,-3,-593,5392,5951,48,56,9,-593,5392,5951,48,56,9,1615
7770,-765,-3445,-109,-12,-3,7770,-765,-3445,-109,-12,-3,-630,5322,5953,46,60,8,-630,5322,5953,46,60,8,1625
7766,-799,-3456,-112,-13,-3,7766,-799,-3456,-112,-13,-3,-623,5371,5957,75,48,-7,-623,5371,5957,75,48,-7,1620
7782,-759,-3489,-109,-14,-5,7782,-759,-3489,-109,-14,-5,-630,5294,5919,64,47,-4,-630,5294,5919,64,47,-4,1621
7748,-801,-3446,-107,-14,-4,7748,-801,-3446,-107,-14,-4,-645,5310,5980,61,58,7,-645,5310,5980,61,58,7,1623
7783,-741,-3431,-111,-12,-3,7783,-741,-3431,-111,-12,-3,-651,5311,5961,24,46,32,-651,5311,5961,24,46,32,1616
7778,-743,-3449,-114,-11,-2,7778,-743,-3449,-114,-11,-2,-648,5358,5969,62,43,12,-648,5358,5969,62,43,12,1620
7754,-801,-3473,-110,-15,-2,7754,-801,-3473,-110,-15,-2,-680,5384,5995,55,57,7,-680,5384,5995,55,57,7,1625
7775,-748,-3450,-110,-12,-4,7775,-748,-3450,-110,-12,-4,-598,5389,5960,37,42,21,-598,5389,5960,37,42,21,1617
7774,-761,-3454,-106,-9,-3,7774,-761,-3454,-106,-9,-3,-646,5346,5968,56,54,12,-646,5346,5968,56,54,12,1622
7768,-788,-3460,-115,-12,-3,7768,-788,-3460,-115,-12,-3,-671,5312,5938,52,43,12,-671,5312,5938,52,43,12,1625
7765,-771,-3438,-105,-13,-6,7765,-771,-3438,-105,-13,-6,-625,5397,5901,65,46,-3,-625,5397,5901,65,46,-3,1618
7777,-762,-3455,-106,-17,-2,7777,-762,-3455,-106,-17,-2,-679,5349,5953,45,42,5,-679,5349,5953,45,42,5,1622
7753,-776,-3470,-110,-13,-4,7753,-776,-3470,-110,-13,-4,-648,5293,5933,60,51,-3,-648,5293,5933,60,51,-3,1621
7753,-759,-3504,-111,-13,-3,7753,-759,-3504,-111,-13,-3,-662,5322,5930,55,52,7,-662,5322,5930,55,52,7,1624
7752,-752,-3449,-111,-10,-2,7752,-752,-3449,-111,-10,-2,-657,5337,6011,48,56,11,-657,5337,6011,48,56,11,1622
7766,-757,-3473,-110,-9,-2,7766,-757,-3473,-110,-9,-2,-624,5364,5933,55,32,2,-624,5364,5933,55,32,2,1619
7770,-772,-3446,-108,-11,-3,7770,-772,-3446,-108,-11,-3,-642,5357,5911,64,36,18,-642,5357,5911,64,36,18,1613
7769,-754,-3468,-108,-14,-1,7769,-754,-3468,-108,-14,-1,-661,5332,5963,77,60,10,-661,5332,5963,77,60,10,1621
7763,-751,-3450,-112,-12,-4,7763,-751,-3450,-112,-12,-4,-682,5330,5939,45,62,15,-682,5330,5939,45,62,15,1620
7754,-788,-3484,-110,-12,-5,7754,-788,-3484,-110,-12,-5,-639,5358,5924,56,54,4,-639,5358,5924,56,54,4,1625
7765,-772,-3467,-110,-15,-3,7765,-772,-3467,-110,-15,-3,-618,5397,5962,69,79,-8,-618,5397,5962,69,79,-8,1616
7775,-749,-3459,-106,-12,-2,7775,-749,-3459,-106,-12,-2,-610,5324,5928,65,50,9,-610,5324,5928,65,50,9,1614
7778,-754,-3425,-116,-8,-2,7778,-754,-3425,-116,-8,-2,-611,5332,5930,51,24,18,-611,5332,5930,51,24,18,1613
7750,-769,-3455,-108,-13,-4,7750,-769,-3455,-108,-13,-4,-655,5325,5977,61,44,2,-655,5325,5977,61,44,2,1621
7762,-759,-3444,-112,-13,-5,7762,-759,-3444,-112,-13,-5,-659,5340,5945,43,52,14,-659,5340,5945,43,52,14,1622
7760,-741,-3447,-108,-11,-4,7760,-741,-3447,-108,-11,-4,-640,5381,5937,68,64,-2,-640,5381,5937,68,64,-2,1616
7760,-761,-3445,-110,-12,-4,7760,-761,-3445,-110,-12,-4,-651,5361,5963,46,57,10,-651,5361,5963,46,57,10,1621
7766,-773,-3455,-113,-12,-1,7766,-773,-3455,-113,-12,-1,-626,5342,6002,55,59,5,-626,5342,6002,55,59,5,1618
7778,-772,-3482,-108,-13,-4,7778,-772,-3482,-108,-13,-4,-697,5360,5955,39,37,8,-697,5360,5955,39,37,8,1625
7752,-766,-3466,-112,-13,-4,7752,-766,-3466,-112,-13,-4,-653,5382,5982,53,43,9,-653,5382,5982,53,43,9,1624
7738,-751,-3465,-101,-18,-7,7738,-751,-3465,-101,-18,-7,-679,5392,5957,44,65,3,-679,5392,5957,44,65,3,1620
7768,-762,-3429,-109,-13,-3,7768,-762,-3429,-109,-13,-3,-682,5350,5974,43,44,15,-682,5350,5974,43,44,15,1621
7761,-772,-3483,-108,-11,-4,7761,-772,-3483,-108,-11,-4,-661,5313,5937,44,39,17,-661,5313,5937,44,39,17,1626
